Region	Dating_Method	LAB_ID	Latitude	Longitude	age	error	Material	Curve	Reservoir_age	Reservoir_error	type	RSL	RSL_2sigma_upper	RSL_2sigma_lower	Reference
Strait_Of_Malacca	radiocarbon	ANU-11799	1.3401	103.88674	7340	70	wood originally interpreted to HAT but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	-1.96	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11800	1.3401	103.88674	6750	80	wood originally interpreted to MHWS but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	-1.1	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11801	1.3401	103.88674	5890	113	wood originally interpreted to MHWS to MSL but conservatively we interpreted it as HAT to MTL	terrestrial	-386	53	0	0.136	0.8	0.8	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11802	1.3401	103.88674	6200	93	wood originally interpreted to MHWS but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	0.336	0.8	0.8	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11803	1.3401	103.88674	6000	65	wood originally interpreted to MHWS but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	0.6	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11806	1.3401	103.88674	6300	84	wood originally interpreted to MHWS but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	1.33	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11809	1.3401	103.88674	6140	93	wood originally interpreted to HAT to MHWS but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	1.27	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11810	1.3401	103.88674	6190	70	wood originally interpreted to MHWS but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	1.43	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11811	1.3401	103.88674	7070	132	wood originally interpreted to HAT but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	0.08	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11812	1.3401	103.88674	6650	84	wood originally interpreted to HAT but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	0.03	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11839	1.2909	103.86109	7340	110	wood originally interpreted as MSL but conservatively we interpreted it as HAT to LAT	terrestrial	-386	53	0	-6.856	1.17	1.17	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11840	1.2909	103.86109	7650	100	wood originally interpreted to MHWS but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	-7.42	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11841	1.2909	103.86109	7530	80	wood originally interpreted as MSL but conservatively we interpreted it as HAT to LAT	terrestrial	-386	53	0	-6.776	1.17	1.17	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11842	1.2909	103.86109	7800	90	wood originally interpreted to MHWS but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	-7.48	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11843	1.2909	103.86109	7740	100	wood originally interpreted as MSL but conservatively we interpreted it as HAT to LAT	terrestrial	-386	53	0	-6.786	1.17	1.17	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11976	1.30376	103.87758	7920	80	wood originally interpreted as MSL but conservatively we interpreted it as HAT to LAT	terrestrial	-386	53	0	-8.823	1.17	1.17	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11977	1.2953	103.85041	7270	220	wood originally interpreted as MSL but conservatively we interpreted it as HAT to LAT	terrestrial	-386	53	0	-5.057	1.17	1.17	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11980	1.2953	103.85041	7660	130	wood originally interpreted to HAT to MHWS but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	-6.4	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11981	1.2953	103.85041	6500	270	wood originally interpreted as MSL but conservatively we interpreted it as HAT to LAT	terrestrial	-386	53	0	-3.307	1.17	1.17	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11982	1.2953	103.85041	7150	90	wood originally interpreted to MHWS but conservatively we interpreted it as terrestrial limiting	terrestrial	-386	53	1	-2.15	0.72	0.72	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11983	1.2953	103.85041	7070	90	wood originally interpreted as MSL but conservatively we interpreted it as HAT to LAT	terrestrial	-386	53	0	-2.707	1.17	1.17	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11984	1.2953	103.85041	6950	180	wood originally interpreted as MSL but conservatively we interpreted it as HAT to LAT	terrestrial	-386	53	0	-3.6	1.17	1.17	BirdEtal2007
Strait_Of_Malacca	radiocarbon	ANU-11985	1.2953	103.85041	6360	240	wood originally interpreted as MSL but conservatively we interpreted it as HAT to LAT	terrestrial	-386	53	0	-2.307	1.17	1.17	BirdEtal2007
