GSC-4393	50.09	-57.59	14897	192	1	100	2.5	2.5
GSC-5026	50.07	-57.7	11806	132	-1	8.6	0.6	0.6
GSC-5025	50.06	-57.71	10973	131	-1	3.6	0.6	0.6
GSC-4006	50	-57.73	11658	145	0	51.7	3.3	3.3
GSC-1762	49.99	-57.79	9558	119	0	9.2	2	2
GSC-4304	49.99	-57.79	9977	141	0	10.4	1.5	1.5
GSC-3433	49.91	-57.79	9176	237	-1	6	0.4	0.4
TO-8746	49.86	-57.82	1405	288	0	-0.4	0.4	0.4
TO-8745	49.86	-57.81	2166	297	0	0.1	0.4	0.4
T14374	49.86	-57.81	1525	351	0	0.1	0.4	0.4
T14376	49.86	-57.81	487	65	0	0	0.4	0.4
GSC-1763	49.76	-57.82	9233	139	0	4.1	2.2	2.2
GX-9886	49.71	-57.94	9482	395	1	1.5	0.3	0.3
GSC-2487	49.47	-58.13	13638	128	-1	27	1.4	1.4
GSC-1462	49.12	-58.41	13899	260	-1	37.1	1.8	1.8
GSC-4281	49.05	-58.37	10395	188	1	52	2.5	2.5
