GSC-1549	58.74	-94.08	5421	350	-1	22	1.2	1.2
GSC-2579	59.3	-95.38	7300	279	-1	85	2.5	2.5
GSC-261	58.74	-94.08	2925	375	-1	23	1.3	1.3
GSC-3070	58.55	-95.83	8309	320	-1	106	2.5	2.5
GSC-3851	58.89	-94.97	4155	351	-1	30	1.5	1.5
GSC-682	58.75	-93.84	872	294	0	8.8	6	6
GSC-683	58.7	-93.84	2034	373	0	25.3	6.1	6.1
GSC-684	58.76	-93.95	658	285	0	4.8	6	6
GSC-685	58.62	-93.81	3091	350	0	36.8	6.4	6.4
GSC-723	58.76	-93.98	1800	368	0	20.3	6	6
GSC-92	58.18	-95.05	7787	297	-1	142	2.5	2.5
GX-1063	58.1	-94.7	8595	396	-1	67	2.5	2.5
GX-1065	58.71	-94.28	3108	358	0	37.9	2.8	2.8
GX-1072	58.61	-93.66	3108	358	-1	30	1.5	1.5
GX-1073	58.75	-93.35	199	199	-1	4	2	2
I-3973	58.75	-94.25	2061	252	1	18	1.1	1.1
S-521	58.75	-94.25	3226	242	1	29	1.5	1.5
BETA-214174	58.75	-94.25	3884	180	1	45	2.3	2.3
BETA-214172	58.75	-94.25	3030	126	1	34	1.7	1.7
AECV-1715C	57.38	-94.2	6858	269	1	105	2.5	2.5
AECV-1718C	57.8	-94.21	6632	215	1	85	2.5	2.5
S-738	58.75	-94.25	3576	416	0	32.8	7	7
GSC-3988	58.22	-93.85	3708	114	1	45.7	2	2
